Omitted_ID,Beta,SE,CI_low,CI_high,t,df,p,Delta_beta,Deletion_DFBETA,Absolute_DFBETA,Percent_change,CI_excludes_zero,Above_DFBETA_threshold
66,-0.404984928237222,0.15794326509124548,-0.7166088721772086,-0.09336098429723533,-2.5641164756424275,183,0.011146751590192763,0.0049743155001257255,-0.03150080325762436,0.03150080325762436,1.2133682984625334,True,False
67,-0.41341600274589707,0.15847203492114514,-0.7260832158606385,-0.10074878963115569,-2.608763135726822,183,0.009838137339448506,-0.0034567590085493594,0.021890586842467436,0.021890586842467436,-0.8431957716177348,True,False
68,-0.40964260653577506,0.15843325500443964,-0.7222333064127886,-0.09705190665876151,-2.58558474055397,183,0.010499205379326547,0.00031663720157265596,-0.0020051655731392354,0.0020051655731392354,0.07723626346025723,True,False
70,-0.41297697350531815,0.157767549815342,-0.7242542291122764,-0.10169971789835991,-2.6176293793538936,183,0.00959531858262839,-0.003017729767970434,0.01911035029907339,0.01911035029907339,-0.7361048236062778,True,False
71,-0.4124552664058828,0.15813755006783153,-0.724462536919605,-0.10044799589216058,-2.6082057438537793,183,0.009853585411289915,-0.002496022668535103,0.01580654041869832,0.01580654041869832,-0.6088465394219168,True,False
72,-0.396888696842652,0.1600677232357777,-0.7127042220150014,-0.08107317167030259,-2.4795048546922858,183,0.014060941847381313,0.013070546894695723,-0.08277173536518874,0.08277173536518874,3.1882551971604642,True,False
73,-0.4142626424224611,0.15939065885882991,-0.7287423115117806,-0.09978297333314157,-2.599039651309602,183,0.010110767523458278,-0.004303398685113369,0.027252094346538597,0.027252094346538597,-1.0497137827365264,True,False
74,-0.4120445521389186,0.15784295907835372,-0.7234705911203103,-0.10061851315752685,-2.610471537944106,183,0.009790924553646519,-0.0020853084015708956,0.01320561385535269,0.01320561385535269,-0.5086623691078201,True,False
75,-0.3941056244148283,0.1572909521332476,-0.7044425471162897,-0.08376870171336692,-2.5055835638973396,183,0.013097663021572715,0.015853619322519386,-0.10039607322602132,0.10039607322602132,3.8671208332788485,True,False
76,-0.4176773406242759,0.15819114074145188,-0.729790346175591,-0.10556433507296076,-2.6403333250306926,183,0.008997904894461674,-0.007718096886928205,0.048876323094557125,0.048876323094557125,-1.8826498011282868,True,False
77,-0.4118725824132423,0.15760558572708022,-0.7228302809442365,-0.10091488388224812,-2.6133120886112935,183,0.009712874592926914,-0.0019133386758946047,0.012116582712342248,0.012116582712342248,-0.46671436371378433,True,False
